"title","author","publication_year","genre","synopsis"
"De Criminibus","Antonius Matthaeus","1987","Corpus juris civilis","Obra de Antonius Matthaeus, publicada en 1987."
"The Cyclopedic Law Dictionary","Walter A. Shumaker","1901","Law","Obra de Walter A. Shumaker, publicada en 1901."
"Illinois Appellate Reports","Illinois. Appellate Court","1977","Law reports, digests, etc","Obra de Illinois. Appellate Court, publicada en 1977."
"Pro L. Cornelio Balbo oratio ad iudices","Marcus Tullius Cicero","1896","Ficción","Obra de Marcus Tullius Cicero, publicada en 1896."
"Stalking","Dianne Hubbard","2008","Harassment","Obra de Dianne Hubbard, publicada en 2008."
"The Imagined Underworld","James Alex Garza","2007","Biography & Autobiography","Introduction -- Charting the imagined city -- The terror of Peralvillo, ""El Chalequero"" -- Love, betrayal, and death in the underworld -- Organized crime and the porfirian state -- Disease, decay, an…"
"Ciceronis Pro L. Cornelio Balbo Oratio Ad Iudices","Marcus Tullius Cicero","1890","Ficción","Obra de Marcus Tullius Cicero, publicada en 1890."
"American Ecclesiastical Review","Herman Joseph Heuser","1925","Ficción","Obra de Herman Joseph Heuser, publicada en 1925."
"The International Film Index, 1895-1990: Film titles","Alan Goble","1991","Motion picture producers and directors","Obra de Alan Goble, publicada en 1991."
"The Biology of Literature","Walter A. Koch","1993","Art and literature","Obra de Walter A. Koch, publicada en 1993."
"The American and English Encyclopædia of Law","David Shephard Garland","1900","Law","Obra de David Shephard Garland, publicada en 1900."
"Military Rules of Evidence Manual","Stephen A. Saltzburg","1997","Law","Military Rules of Evidence Manual, Fourth Edition is the only publication of its kind available to both military & civilian attorneys that analyzes what the Rules say & mean to judges & counsel in th…"
"An Introduction to Criminal Justice","Orvill C. Snyder","1953","Criminal law","Obra de Orvill C. Snyder, publicada en 1953."
"Cases and Materials on Evidence","David W. Louisell","1981","Law","Obra de David W. Louisell, publicada en 1981."
"Indicators of Justice","Sorrel Wildhorn","1976","Criminal justice, Administration of","Obra de Sorrel Wildhorn, publicada en 1976."
"Dramatic Pairings in the Elegies of Propertius and Ovid","John T. Davis","1977","Altertum","Obra de John T. Davis, publicada en 1977."
"Outlines of South African Criminal Law and Procedure","Alfred Victor Lansdown","1960","Criminal law","Obra de Alfred Victor Lansdown, publicada en 1960."
"Evidence","Paul R. Rice","1987","Common law","Obra de Paul R. Rice, publicada en 1987."
"Lone Star Justice","David M. Horton","1999","Law","Drawn from a broad range of historical, political, and statutory sources, the authors combine a host of factual and historical information about the criminal justice system in Texas. This volume also…"
"The Mexican Bureaucracy Before the Bourbon Reforms, 1700-1770","Brian R. Hamnett","1979","Colonial administrators","Obra de Brian R. Hamnett, publicada en 1979."
"The Law of the International Criminal Tribunal for the Former Yugoslavia","M. Cherif Bassiouni","1996","History","This thorough commentary on the International Criminal Tribunal for the Former Yugoslavia draws on legislative history, international and comparative law sources, and the Tribunal's Rules of Procedur…"
"Criminal Law","Kenneth M. Wells","1978","Law","Obra de Kenneth M. Wells, publicada en 1978."
"Decisions, Court of Appeal, Parish of Orleans","Louisiana. Court of Appeal (Orleans Parish)","1907","Law reports, digests, etc","Obra de Louisiana. Court of Appeal (Orleans Parish), publicada en 1907."
"Traditio","Johannes Quasten","1948","Canon law","Catalogue of offprints from vols. 1-20 in v. 20, p. [527]-541."
"Federal Rules of Evidence Manual","Stephen A. Saltzburg","1998","Evidence (Law)","A complete guide to the Federal rules of evidence."
"Peccatum","Anna Elizabeth Wilhelm-Hooijbergh","1954","Ethics","Obra de Anna Elizabeth Wilhelm-Hooijbergh, publicada en 1954."
"Pivotal Catalogues in the Aeneid","W. P. Basson","1975","Literary Criticism","Obra de W. P. Basson, publicada en 1975."
"A Law Dictionary and Glossary","J. Kendrick Kinney","1893","Law","Obra de J. Kendrick Kinney, publicada en 1893."
"Glossary of Technical Terms, Phrases, and Maxims of the Common Law","Frederic Jesup Stimson","1881","Law","Obra de Frederic Jesup Stimson, publicada en 1881."
"Glossary of Technical Terms, Phrases and Maxims of the Common Law","Stimson","1881","Ficción","Obra de Stimson, publicada en 1881."
"The Students' Pocket Law-lexicon; Or, Dictionary of Jurisprudence","Henry Gilbert Rawson","1882","Law","Obra de Henry Gilbert Rawson, publicada en 1882."
"Cyclopedia of Law and Procedure","William Mack","1904","Law","Obra de William Mack, publicada en 1904."
"A New Latin Dictionary","Charlton Thomas Lewis","1907","Encyclopedias and dictionaries","Obra de Charlton Thomas Lewis, publicada en 1907."
"Harpers' Latin Dictionary","Ethan Allen Andrews","1907","English language","Obra de Ethan Allen Andrews, publicada en 1907."
"Dictionary of Terms and Phrases Used in American Or English Jurisprudence","Benjamin Vaughan Abbott","1879","Law","Obra de Benjamin Vaughan Abbott, publicada en 1879."
"A Dictionary of Law","Henry Campbell Black","1891","Law","Obra de Henry Campbell Black, publicada en 1891."
"The Law Glossary","Thomas Tayler","1889","English language","Obra de Thomas Tayler, publicada en 1889."
"Children of Fate","Nara B. Milanich","2009","History","Examines the family in late-nineteenth- and early twentieth-century Chile to show how class order and state formation were tied to particular child-rearing conditions and practices."
"Prison Reform in the Phillipines","Ramon Victorio","1927","Ficción","Obra de Ramon Victorio, publicada en 1927."
"P. Ovidi Nasonis Tristivm liber secvndvs","Ovid","1967","Ficción","Obra de Ovid, publicada en 1967."
"A Concise Law Dictionary of Words, Phrases, and Maxims","Frederic Jesup Stimson","1911","Law","Obra de Frederic Jesup Stimson, publicada en 1911."
"Tentative Dictionary of Medieval Spanish","Ralph Steele Boggs","1946","Spanish language","Obra de Ralph Steele Boggs, publicada en 1946."
"Wharton's Law-Lexicon, Forming an Epitome of the Law of England, and Containing Full Explanation of the Technical Terms","Wharton","1892","Ficción","Obra de Wharton, publicada en 1892."
"A Latin Dictionary for Schools","Charlton Thomas Lewis","1889","English language","Obra de Charlton Thomas Lewis, publicada en 1889."
"P. Vergili Maronis Opera: The last six books of the Aeneid. 2d ed., rev. by Henry Nettleship. 1875","Virgil","1875","Ficción","Obra de Virgil, publicada en 1875."
"Two Fists in One Mouth","Meki Zewi","1976","Nigerian drama (English)","Obra de Meki Zewi, publicada en 1976."
"The Law Reports","Great Britain. Parliament. House of Lords","1884","Law reports, digests, etc","Obra de Great Britain. Parliament. House of Lords, publicada en 1884."
"The Constitutional History of England in Its Origin and Development","William Stubbs","1878","Constitutional history","Obra de William Stubbs, publicada en 1878."
"The South African Law Reports. Appellate Division","Sir Alexander Fraser Russell","1925","Law reports, digests, etc","Obra de Sir Alexander Fraser Russell, publicada en 1925."
"The Trial of Adolf Eichmann","Adolf Eichmann","1992","Biography & Autobiography","Presents the full record of the trial's 121 sessions, from 11 April to 15 December 1961. Vol. V also contains the proceedings of the appeal in the Israel Supreme Court in 1962, which upheld the verdi…"
"Procedure","William Taylor Hughes","1905","Appellate procedure","Obra de William Taylor Hughes, publicada en 1905."
"Procedure, Its Theory and Practice","William Taylor Hughes","1905","Appellate procedure","Obra de William Taylor Hughes, publicada en 1905."
"Black's Law Dictionary","Henry Campbell Black","1933","Law","Obra de Henry Campbell Black, publicada en 1933."
"Emendations of Cicero's Verrines","William Peterson","1903","Ficción","Obra de William Peterson, publicada en 1903."
"A Law Dictionary and Glossary","Alexander Mansfield Burrill","1871","Law","Obra de Alexander Mansfield Burrill, publicada en 1871."
"Contributions to Latin Lexicography","Henry Nettleship","1889","Latin language","Obra de Henry Nettleship, publicada en 1889."
"Crimen y castigo","Fiodor Dostoyevski","2006","Literary Collections","Esta novela, una de las más grandes e imperecederas de la literatura universal, contiene dos de los temas característicos de Dostoyevski: la relación entre la culpa y el castigo y la idea de la fuerz…"
"A Juridical Glossary","Adams","1886","Ficción","Obra de Adams, publicada en 1886."
"Meditationes Ad Pandectas","Augustinus Leyserus","2015","History","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"Criminal Law Manual","Clemence Masango","1995","Criminal law","Obra de Clemence Masango, publicada en 1995."
"Contract in Roman Law","György Diósdi","1981","Contracts (Roman law)","Obra de György Diósdi, publicada en 1981."
"Contributions to Education","George Peabody College for Teachers","1931","Education","Obra de George Peabody College for Teachers, publicada en 1931."
"Law Lexicon Or Dictionary of Jurisprudence","Wharton","1872","Ficción","Obra de Wharton, publicada en 1872."
"A Copious and Critical Latin-English Dictionary","Peter Bullions","1881","English language","Obra de Peter Bullions, publicada en 1881."
"A Latin-English Dictionary","John Tahourdin White","1872","Ficción","Obra de John Tahourdin White, publicada en 1872."
"Commentaries on the Laws of England","William Blackstone","1902","Law","Obra de William Blackstone, publicada en 1902."
"Butterworths Australian Legal Dictionary","Peter Edward Nygh","1997","Law","Containing approximately 20,000 definitions, the AUSTRALIAN LEGAL DICTIONARY is the first comprehensive Australian legal dictionary to be produced and is a landmark publication for the Australian leg…"
"Government Gazette","New South Wales","1907","Gazettes","Obra de New South Wales, publicada en 1907."
"Journal of the Legislative Council","New South Wales. Parliament. Legislative Council","1908","New South Wales","Obra de New South Wales. Parliament. Legislative Council, publicada en 1908."
"Official Gazette","Philippines","1916","Philippines","Obra de Philippines, publicada en 1916."
"A Copious and Critical Latin-English Lexicon","Ethan Allen Andrews","1875","English language","Obra de Ethan Allen Andrews, publicada en 1875."
"Journal","New South Wales. Parliament. Legislative Council","1899","Ficción","Obra de New South Wales. Parliament. Legislative Council, publicada en 1899."
"Crimen y cultura de masas en Francia siglos XIX-XX","Dominique Kalifa","2008","Crime","Obra de Dominique Kalifa, publicada en 2008."
"Crimen y castigo","F'odor M. Dostojevskij","1980","Ficción","Obra de F'odor M. Dostojevskij, publicada en 1980."
"El Crimen de la droga","Raúl Tomás Escobar","1995","Drug traffic","Obra de Raúl Tomás Escobar, publicada en 1995."
"El cuádruple crimen de La Plata","Fernando Tocho","2014","Crime","Obra de Fernando Tocho, publicada en 2014."
"Crimen y Castigo","Fiodor Dostoiewsky","2016","Ficción","rimen y castigo (1866), considerada por la crítica como la primera obra maestra de Dostoievski, es un profundo análisis psicológico de su protagonista, el joven estudiante Raskolnikov, cuya firme cre…"
"Un crimen ""dormido""","Agatha Christie","1983","Fiction","Obra de Agatha Christie, publicada en 1983."
"El Crimen","J.C. Delgado Cornejo","2025","Fiction","El Crimen: Sin Escape es un thriller intenso y envolvente que te mantendrá al borde del asiento.En la Ciudad Central, donde una tormqenta de nieve azota sin piedad, el detective David Pereira se enfr…"
"La ciencia contra el crimen","Janire Ramila Sanchez","2010","Social Science","?Con un estilo ameno y riguroso, la autora se remonta al pasado para mostrarnos el progreso de la investigación científica a lo largo de la historia, hasta llegar a la actualidad.? (Blog Me gustan lo…"
